수광점ID,학교,지번,종류,교사동/운동장,층,X,Y,Z,근거등급,근거,추정여부,추정항목
여의도고등학교 운동장-20,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194231.777,547194.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-21,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194135.777,547202.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-22,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194143.777,547202.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-23,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194151.777,547202.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-24,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194159.777,547202.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-25,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194167.777,547202.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-26,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194175.777,547202.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-27,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194183.777,547202.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-28,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194191.777,547202.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-29,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194199.777,547202.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-30,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194207.777,547202.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-31,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194215.777,547202.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-32,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194223.777,547202.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-33,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194231.777,547202.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-34,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194239.777,547202.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-35,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194135.777,547210.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-36,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194143.777,547210.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-37,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194151.777,547210.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-38,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194183.777,547210.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-39,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194191.777,547210.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-40,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194199.777,547210.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-41,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194207.777,547210.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-42,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194215.777,547210.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-43,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194223.777,547210.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-44,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194231.777,547210.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-45,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194239.777,547210.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-46,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194127.777,547218.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-47,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194135.777,547218.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-48,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194143.777,547218.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-49,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194151.777,547218.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-50,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194191.777,547218.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-51,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194199.777,547218.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-52,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194207.777,547218.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-53,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194215.777,547218.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-54,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194223.777,547218.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-55,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194231.777,547218.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-56,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194239.777,547218.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-57,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194127.777,547226.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-58,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194135.777,547226.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-59,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194143.777,547226.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-60,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194151.777,547226.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-61,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194159.777,547226.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-62,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194191.777,547226.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-63,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194199.777,547226.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-64,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194215.777,547226.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-65,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194223.777,547226.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-66,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194231.777,547226.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-67,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194239.777,547226.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-68,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194127.777,547234.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-69,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194135.777,547234.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-70,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194143.777,547234.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-71,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194151.777,547234.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-72,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194159.777,547234.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-73,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194167.777,547234.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-74,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194183.777,547234.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-75,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194191.777,547234.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-76,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194223.777,547234.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-77,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194231.777,547234.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-78,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194239.777,547234.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-79,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194247.777,547234.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-80,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194127.777,547242.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-81,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194135.777,547242.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-82,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194143.777,547242.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-83,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194151.777,547242.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-84,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194159.777,547242.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
여의도고등학교 운동장-85,여의도고등학교,30-1,운동장 지반,여의도고등학교 운동장,0,194167.777,547242.132,0.0,C 운동장 근사(격자도 추정),옥외지반 근사,추정,실제 운동장 경계가 아님. 교사동에서 60m 이내 옥외지반 중 어느 건물에도 들지 않고 그 학교가 다른 어떤 건물보다 가까운 8m 격자점만 남겨 배정한 **근사 영역**이다. 실제 운동장 폴리곤을 주면 교체 가능
